timestamp,hbo,hbr,flowActivity,heartRate,flowIntensity
1752420412869.0,-1.4764889916218048e-14,1.6979221514752114e-14,347,0,231
1752420412909.0,-1.4014165745194548e-14,1.6130617604573578e-14,355,0,237
1752420412949.0,-1.2982027865565743e-14,1.4930282134022162e-14,355,0,237
1752420412989.0,-1.1946063655773708e-14,1.3707606451853568e-14,355,0,237
1752420413029.0,-1.0690611186710938e-14,1.2316571677813912e-14,362,0,241
1752420413069.0,-9.048265125604031e-15,1.0602920689212548e-14,362,0,241
1752420413109.0,-6.845942760184125e-15,8.31952202422843e-15,362,0,241
1752420413149.0,-4.6365736453387405e-15,5.993657927164817e-15,366,0,244
1752420413189.0,-2.9075029160505843e-15,4.126452853218326e-15,366,0,244
1752420413229.0,-1.840139477279544e-15,2.9558016522737525e-15,366,0,244
1752420413269.0,-1.0992930691931714e-15,2.1418305193471267e-15,367,0,244
1752420413309.0,-2.981219099292187e-16,1.2726082743593017e-15,367,0,244
1752420413349.0,7.96559894257192e-16,8.688073400162434e-17,367,0,244
1752420413389.0,2.077198129181033e-15,-1.3275713952187229e-15,366,0,244
1752420413429.0,3.2885732271742516e-15,-2.7087759283988504e-15,366,0,244
1752420413469.0,4.146487017638909e-15,-3.723602431013296e-15,366,0,244
1752420413509.0,4.5474228630407436e-15,-4.224162621095453e-15,363,0,242
1752420413549.0,4.560384443530984e-15,-4.263448291494137e-15,363,0,242
1752420413589.0,4.194241323435773e-15,-3.867130893232587e-15,363,0,242
1752420413629.0,3.730701272964977e-15,-3.3368193767686634e-15,359,0,239
1752420413669.0,3.500255795499524e-15,-3.047876109958431e-15,359,0,239
1752420413709.0,3.5846311472178326e-15,-3.113555891655797e-15,359,0,239
1752420413749.0,3.8116522116531195e-15,-3.3645903401217304e-15,352,0,234
1752420413789.0,3.607952222986948e-15,-3.1434139441888104e-15,352,0,234
1752420413829.0,2.9416761073429922e-15,-2.3574805194072906e-15,352,0,234
1752420413869.0,1.815137676386519e-15,-9.746005550591705e-16,342,0,228
1752420413909.0,7.941949385661536e-16,3.398798753867492e-16,342,0,228
1752420413949.0,-2.60042158571682e-17,1.414825458991476e-15,342,0,228
1752420413989.0,-5.666655573071635e-16,2.1187129432433858e-15,329,0,219
1752420414029.0,-1.112025086108415e-15,2.7668180140184612e-15,329,0,219
1752420414069.0,-1.7359977647238744e-15,3.4641928031176026e-15,329,0,219
1752420414109.0,-2.509521309807581e-15,4.2913032522810555e-15,327,0,218
1752420414149.0,-3.3589763469251e-15,5.198825927178735e-15,327,0,218
1752420414189.0,-4.170938600047163e-15,6.076401187567557e-15,327,0,218
1752420414229.0,-4.8625911169046934e-15,6.845179583499412e-15,324,0,216
1752420414269.0,-5.465048946923171e-15,7.519043984965915e-15,324,0,216
1752420414309.0,-6.122451827764881e-15,8.223433477410729e-15,324,0,216
1752420414349.0,-6.873230491241265e-15,9.016094814299484e-15,321,0,214
1752420414389.0,-7.745512360403671e-15,9.93252008780822e-15,321,0,214
1752420414429.0,-8.579169809554222e-15,1.0831748333750362e-14,321,0,214
1752420414469.0,-9.220305987348811e-15,1.1525527044475534e-14,317,0,211
1752420414509.0,-9.514437048611474e-15,1.1837201287435553e-14,317,0,211
1752420414549.0,-9.503822596415727e-15,1.179169077191372e-14,317,0,211
1752420414589.0,-9.423877932867916e-15,1.1658092218097315e-14,312,0,208
1752420414629.0,-9.53096379077314e-15,1.1734681501800094e-14,312,0,208
1752420414669.0,-9.7364878648894e-15,1.1978499935423424e-14,312,0,208
1752420414709.0,-9.743684256802074e-15,1.206740903098738e-14,307,0,205
1752420414749.0,-9.141731823108287e-15,1.1541628011409474e-14,307,0,205
1752420414789.0,-8.114192485345529e-15,1.0531617455783984e-14,307,0,205
1752420414829.0,-7.001002305419331e-15,9.397288439302931e-15,302,0,201
1752420414869.0,-6.139727629395489e-15,8.504604934593358e-15,302,0,201
1752420414909.0,-5.5335047379302306e-15,7.873355890037866e-15,302,0,201
1752420414949.0,-4.7815811682546165e-15,7.106611220210336e-15,297,88,213
1752420414989.0,-3.988871268143603e-15,6.288063991790744e-15,297,88,213
1752420415029.0,-3.0987844841034002e-15,5.3629475955632385e-15,297,88,213
1752420415069.0,-2.5640137626931153e-15,4.753999234420757e-15,293,93,211
1752420415109.0,-1.9895954760577937e-15,4.092772988031123e-15,293,93,211
1752420415149.0,-1.3871361284386198e-15,3.3907931631466808e-15,293,93,211
1752420415189.0,-7.675486629123488e-16,2.6800766169365204e-15,289,90,208
1752420415229.0,-5.947022022494565e-16,2.445426326752943e-15,289,90,208
1752420415269.0,-1.0944798397682516e-15,2.9474578130630104e-15,289,90,208
1752420415309.0,-2.165897266453397e-15,4.1033059838918555e-15,285,95,206
1752420415349.0,-3.5414433372072068e-15,5.616652597737037e-15,285,95,206
1752420415389.0,-4.922362702628711e-15,7.146835120769324e-15,285,95,206
1752420415429.0,-6.0277699203268445e-15,8.384011159947464e-15,281,99,203
1752420415469.0,-6.797824230220305e-15,9.263675768270754e-15,281,99,203
1752420415509.0,-7.176928789633598e-15,9.72666623553149e-15,281,99,203
1752420415549.0,-7.358059726614905e-15,9.952089937002012e-15,276,96,200
1752420415589.0,-7.452298918166284e-15,1.0054536877804076e-14,276,96,200
1752420415629.0,-7.624340344599696e-15,1.0255224393796352e-14,276,96,200
