timestamp,hbo,hbr,flowActivity,heartRate,flowIntensity
1752675344774.0,-8.744573885819586e-15,7.404339912740705e-15,48,90,47
1752675344814.0,-8.271967900551234e-15,6.9647323546541715e-15,48,90,47
1752675344854.0,-7.386053600805034e-15,6.213060636107959e-15,48,90,47
1752675344894.0,-6.0961028915566735e-15,5.177643327254982e-15,49,90,48
1752675344934.0,-5.3118390392986026e-15,4.572048087203013e-15,49,90,48
1752675344974.0,-5.007904418714223e-15,4.377559440656862e-15,49,90,48
1752675345014.0,-5.1812689106099205e-15,4.566003377753135e-15,50,90,48
1752675345054.0,-5.326047452285953e-15,4.732223429090204e-15,50,90,48
1752675345094.0,-5.4666218871046495e-15,4.8864088363247206e-15,50,90,48
1752675345134.0,-5.576068708175825e-15,5.014298670426651e-15,51,90,49
1752675345174.0,-5.729007565257544e-15,5.175027124827847e-15,51,90,49
1752675345214.0,-5.8888985864190576e-15,5.3307281563478005e-15,51,90,49
1752675345254.0,-6.025825132681894e-15,5.444555549473478e-15,52,90,49
1752675345294.0,-6.0703649484471425e-15,5.454834858966761e-15,52,90,49
1752675345334.0,-6.057527881800025e-15,5.404654086122756e-15,52,90,49
1752675345374.0,-6.0251813876426244e-15,5.340504328270916e-15,53,90,50
1752675345414.0,-5.9937033845996055e-15,5.277129323220724e-15,53,90,50
1752675345454.0,-5.9501769025825765e-15,5.205918416383321e-15,53,90,50
1752675345494.0,-5.903513857565001e-15,5.125154107287702e-15,54,90,51
1752675345534.0,-5.861674947521529e-15,5.0541992867444256e-15,54,90,51
1752675345574.0,-5.830058878108246e-15,4.990051505302796e-15,54,90,51
1752675345614.0,-5.825264671631581e-15,4.958588466508498e-15,55,93,52
1752675345654.0,-5.815408878611502e-15,4.937246342046506e-15,55,93,52
1752675345694.0,-5.769952573198241e-15,4.910908134922287e-15,55,93,52
1752675345734.0,-5.7132756223439215e-15,4.8999856450783664e-15,55,90,52
1752675345774.0,-5.6688789551466154e-15,4.910310412006439e-15,55,90,52
1752675345814.0,-5.7244979618508714e-15,5.012833585773682e-15,55,90,52
1752675345854.0,-5.774326368989172e-15,5.100860073007479e-15,56,90,52
