timestamp,ambient10mm,ambient27mm,740nm10mm,940nm10mm,850nm10mm,740nm27mm,940nm27mm,850nm27mm,hbo,hbr,hbt,flowActivity,heartRate,flowIntensity,buttonPress,note,motionContext,latitude,longitude,likelihoodFrustrated,likelihoodExcited,likelihoodCalm,spo2,vo2Max
1752420411709.0,136909.0,4699638.0,6928591.0,3549800.0,6398723.0,6983293.0,5651681.0,7386746.0,-6.646344952077402e-16,2.627208737949155e-16,-4.019136214128247e-16,129,0,86,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411749.0,137066.0,4653741.0,6960833.0,3562712.0,6408538.0,6946854.0,5613626.0,7344333.0,-6.740614777987012e-16,-1.0461545102398708e-17,-6.845230229010999e-16,129,0,86,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411789.0,137968.0,4659977.0,6996466.0,3582233.0,6452148.0,6958956.0,5628348.0,7357240.0,-2.098765140890297e-15,1.4659987779834737e-15,-6.327663629068233e-16,129,0,86,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411829.0,138489.0,4680590.0,6999993.0,3583648.0,6456324.0,6979702.0,5650035.0,7379743.0,-4.062890442128743e-15,3.658164724273405e-15,-4.047257178553378e-16,156,0,104,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411869.0,139514.0,4708605.0,7050087.0,3614325.0,6501623.0,7008416.0,5684608.0,7415860.0,-4.4243368351222034e-15,4.1194253032063015e-15,-3.049115319159019e-16,156,0,104,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411909.0,140173.0,4718447.0,7059891.0,3627243.0,6535903.0,7010657.0,5692274.0,7427135.0,-3.1129652626408746e-15,2.626058753963881e-15,-4.869065086769936e-16,156,0,104,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411949.0,141233.0,4717959.0,7082417.0,3637557.0,6552613.0,7007255.0,5689341.0,7424176.0,-1.241324591482683e-15,4.4366820315019957e-16,-7.976563883324834e-16,185,0,123,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411989.0,142139.0,4717284.0,7097064.0,3647302.0,6575861.0,7009615.0,5693111.0,7432153.0,-3.708155358073276e-16,-6.268647976132583e-16,-9.976803334205859e-16,185,0,123,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420412029.0,141961.0,4703758.0,7081534.0,3636560.0,6561947.0,6992176.0,5674355.0,7414974.0,-2.2966885964725424e-16,-8.370753682614612e-16,-1.0667442279087154e-15,185,0,123,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420412069.0,141017.0,4695718.0,7046815.0,3613974.0,6519164.0,6983425.0,5665891.0,7397481.0,-2.0185937283873853e-16,-8.585720762361735e-16,-1.060431449074912e-15,218,0,145,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420412109.0,140045.0,4728959.0,7019562.0,3595760.0,6487533.0,7024150.0,5699506.0,7423889.0,3.80167925456538e-16,-1.389202535897459e-15,-1.0090346104409209e-15,218,0,145,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420412149.0,138956.0,4798495.0,6989989.0,3580603.0,6461508.0,7099869.0,5770578.0,7490292.0,3.80167925456538e-16,-1.389202535897459e-15,-1.0090346104409209e-15,218,0,145,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420412189.0,137524.0,4890482.0,6965112.0,3559188.0,6423489.0,7196151.0,5862694.0,7577276.0,3.80167925456538e-16,-1.389202535897459e-15,-1.0090346104409209e-15,238,0,159,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420412229.0,136586.0,4990692.0,6949301.0,3543867.0,6392698.0,7292403.0,5957226.0,7665124.0,3.80167925456538e-16,-1.389202535897459e-15,-1.0090346104409209e-15,238,0,159,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420412269.0,136792.0,5083870.0,6945704.0,3536354.0,6380042.0,7380293.0,6047311.0,7752272.0,3.80167925456538e-16,-1.389202535897459e-15,-1.0090346104409209e-15,238,0,159,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420412309.0,136941.0,5135550.0,6949892.0,3534405.0,6377010.0,7415825.0,6087002.0,7792622.0,3.924601677187997e-15,-5.102870646877935e-15,-1.1782689696899385e-15,260,0,173,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.97776969350218,0.0
1752420412349.0,136690.0,5150849.0,6945041.0,3529858.0,6371609.0,7419626.0,6094729.0,7798104.0,1.0030416132347475e-14,-1.161519748148615e-14,-1.5847813491386746e-15,260,0,173,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.97776969350218,0.0
1752420412389.0,136661.0,5159257.0,6931989.0,3515301.0,6345563.0,7419678.0,6096177.0,7791355.0,1.7887586987431473e-14,-2.0102526755621055e-14,-2.214939768189583e-15,260,0,173,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.97776969350218,0.0
1752420412429.0,136076.0,5161583.0,6915290.0,3506655.0,6330249.0,7417856.0,6095842.0,7783427.0,2.1391693959393993e-14,-2.381164562911158e-14,-2.419951669717586e-15,281,0,187,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.9473619696559,0.0
1752420412469.0,136028.0,5166619.0,6918024.0,3505953.0,6328475.0,7416707.0,6099542.0,7782843.0,2.070868386086081e-14,-2.288699284225007e-14,-2.1783089813892612e-15,281,0,187,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.9473619696559,0.0
1752420412509.0,136431.0,5169276.0,6927484.0,3507467.0,6331803.0,7414822.0,6100589.0,7780132.0,1.6329341698196077e-14,-1.7873775268207355e-14,-1.5444335700112782e-15,281,0,187,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.9473619696559,0.0
1752420412549.0,136434.0,5157986.0,6921827.0,3507457.0,6338628.0,7390835.0,6081855.0,7762002.0,1.1801416121860052e-14,-1.2750948242767747e-14,-9.495321209076956e-16,303,0,202,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.92338207255166,0.0
1752420412589.0,136214.0,5123711.0,6939178.0,3514923.0,6347736.0,7343616.0,6042212.0,7720881.0,6.730928179797976e-15,-7.093480656647288e-15,-3.6255247684931153e-16,303,0,202,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.92338207255166,0.0
1752420412629.0,136527.0,5082141.0,6933929.0,3513414.0,6352550.0,7296057.0,5997922.0,7672104.0,8.839997935290831e-16,-6.137463792674054e-16,2.7025341426167765e-16,303,0,202,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.92338207255166,0.0
1752420412669.0,136893.0,5042388.0,6953399.0,3522186.0,6366766.0,7256784.0,5959112.0,7630306.0,-5.320057729391512e-15,6.283744547280541e-15,9.63686817889029e-16,325,0,216,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89402777096365,0.0
1752420412709.0,137152.0,5000565.0,6966060.0,3531499.0,6383828.0,7213069.0,5917556.0,7586297.0,-1.0190533664236075e-14,1.1731588137479814e-14,1.5410544732437393e-15,325,0,216,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89402777096365,0.0
1752420412749.0,136813.0,4964108.0,6970750.0,3533368.0,6392706.0,7176122.0,5879955.0,7550287.0,-1.3256591336389136e-14,1.5188807318349646e-14,1.93221598196051e-15,325,0,216,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89402777096365,0.0
1752420412789.0,136909.0,4937079.0,6974947.0,3535574.0,6394312.0,7148346.0,5852929.0,7516221.0,-1.449590443969106e-14,1.6613620636914764e-14,2.117716197223704e-15,347,0,231,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89201431513705,0.0
1752420412829.0,137921.0,4918252.0,6993360.0,3547401.0,6420073.0,7130273.0,5835329.0,7499876.0,-1.4992201936470424e-14,1.719928406236051e-14,2.207082125890086e-15,347,0,231,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89201431513705,0.0
1752420412869.0,138332.0,4898522.0,7014728.0,3558696.0,6433677.0,7109391.0,5815983.0,7478543.0,-1.4764889916218048e-14,1.6979221514752114e-14,2.2143315985340664e-15,347,0,231,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89201431513705,0.0
1752420412909.0,139611.0,4880925.0,7034892.0,3575910.0,6473260.0,7091391.0,5801760.0,7465478.0,-1.4014165745194548e-14,1.6130617604573578e-14,2.1164518593790304e-15,355,0,237,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89217236623323,0.0
1752420412949.0,140319.0,4873848.0,7056602.0,3584123.0,6493335.0,7080304.0,5789231.0,7457189.0,-1.2982027865565745e-14,1.4930282134022162e-14,1.9482542684564178e-15,355,0,237,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89217236623323,0.0
1752420412989.0,141179.0,4847105.0,7046171.0,3581128.0,6493919.0,7050540.0,5760929.0,7420708.0,-1.1946063655773707e-14,1.3707606451853568e-14,1.7615427960798616e-15,355,0,237,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89217236623323,0.0
1752420413029.0,141182.0,4855813.0,7033241.0,3568448.0,6469354.0,7059669.0,5770167.0,7416071.0,-1.0690611186710938e-14,1.2316571677813912e-14,1.6259604911029743e-15,362,0,241,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89390529285572,0.0
1752420413069.0,140779.0,4876830.0,7033353.0,3564348.0,6462946.0,7080924.0,5790742.0,7429953.0,-9.04826512560403e-15,1.0602920689212548e-14,1.554655563608518e-15,362,0,241,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89390529285572,0.0
1752420413109.0,140976.0,4896540.0,7030169.0,3560576.0,6454773.0,7091919.0,5807081.0,7443277.0,-6.8459427601841245e-15,8.31952202422843e-15,1.473579264044306e-15,362,0,241,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.89390529285572,0.0
1752420413149.0,140804.0,4904125.0,7025402.0,3557537.0,6445966.0,7093081.0,5809969.0,7441105.0,-4.63657364533874e-15,5.9936579271648166e-15,1.3570842818260769e-15,366,0,244,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.86212354639615,0.0
1752420413189.0,140578.0,4913026.0,7021550.0,3556188.0,6446530.0,7099199.0,5817047.0,7444734.0,-2.9075029160505843e-15,4.126452853218326e-15,1.2189499371677419e-15,366,0,244,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.86212354639615,0.0
1752420413229.0,141094.0,4927479.0,7028068.0,3560546.0,6455981.0,7112410.0,5831823.0,7459558.0,-1.8401394772795438e-15,2.9558016522737525e-15,1.1156621749942086e-15,366,0,244,0,,unknown,0.0,0.0,0.0,0.0,0.0,93.86212354639615,0.0
1752420413269.0,140969.0,4942861.0,7017685.0,3553504.0,6442110.0,7127653.0,5847379.0,7470644.0,-1.0992930691931714e-15,2.1418305193471267e-15,1.0425374501539553e-15,367,0,244,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.83338039667585,0.0
1752420413309.0,140901.0,4966258.0,7021227.0,3552457.0,6440755.0,7154937.0,5873658.0,7493113.0,-2.981219099292187e-16,1.2726082743593017e-15,9.74486364430083e-16,367,0,244,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.83338039667585,0.0
1752420413349.0,141431.0,5008725.0,7033955.0,3560588.0,6453709.0,7200174.0,5918667.0,7538772.0,7.96559894257192e-16,8.688073400162435e-17,8.834406282588163e-16,367,0,244,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.83338039667585,0.0
1752420413389.0,142376.0,5049280.0,7043132.0,3567824.0,6471968.0,7237047.0,5956268.0,7580800.0,2.077198129181033e-15,-1.3275713952187229e-15,7.4962673396231e-16,366,0,244,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.8174685597274,0.0
1752420413429.0,142016.0,5074807.0,7029385.0,3561465.0,6459684.0,7258018.0,5978907.0,7602525.0,3.2885732271742516e-15,-2.70877592839885e-15,5.797972987754017e-16,366,0,244,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.8174685597274,0.0
1752420413469.0,142314.0,5102674.0,7033977.0,3560752.0,6457647.0,7288117.0,6008874.0,7628106.0,4.146487017638909e-15,-3.723602431013296e-15,4.22884586625613e-16,366,0,244,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.8174685597274,0.0
1752420413509.0,142272.0,5125616.0,7031502.0,3560624.0,6458967.0,7307081.0,6030349.0,7652114.0,4.547422863040744e-15,-4.2241626210954524e-15,3.2326024194529195e-16,363,0,242,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.82590200712515,0.0
1752420413549.0,142280.0,5137538.0,7034100.0,3560814.0,6459190.0,7317693.0,6040171.0,7661487.0,4.560384443530984e-15,-4.263448291494137e-15,2.969361520368471e-16,363,0,242,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.82590200712515,0.0
1752420413589.0,142868.0,5155263.0,7028953.0,3556066.0,6450665.0,7337563.0,6058090.0,7676534.0,4.194241323435773e-15,-3.867130893232587e-15,3.2711043020318594e-16,363,0,242,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.82590200712515,0.0
1752420413629.0,142990.0,5188966.0,7022515.0,3553424.0,6446984.0,7368720.0,6090954.0,7707803.0,3.7307012729649765e-15,-3.3368193767686634e-15,3.9388189619631314e-16,359,0,239,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.84453742339582,0.0
1752420413669.0,143214.0,5230773.0,7019343.0,3543635.0,6433168.0,7411870.0,6132502.0,7748566.0,3.5002557954995235e-15,-3.047876109958431e-15,4.523796855410924e-16,359,0,239,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.84453742339582,0.0
1752420413709.0,142400.0,5262944.0,6989673.0,3529731.0,6405054.0,7436574.0,6160683.0,7774504.0,3.5846311472178326e-15,-3.1135558916557966e-15,4.71075255562036e-16,359,0,239,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.84453742339582,0.0
1752420413749.0,142178.0,5292861.0,6979150.0,3521386.0,6393303.0,7459290.0,6183890.0,7799906.0,3.8116522116531195e-15,-3.36459034012173e-15,4.470618715313895e-16,352,0,234,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.87043740280626,0.0
1752420413789.0,142060.0,5290733.0,6961066.0,3506270.0,6366328.0,7449598.0,6174327.0,7783147.0,3.607952222986948e-15,-3.1434139441888104e-15,4.645382787981374e-16,352,0,234,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.87043740280626,0.0
1752420413829.0,141162.0,5289374.0,6954720.0,3501850.0,6354571.0,7448709.0,6173640.0,7772295.0,2.9416761073429922e-15,-2.3574805194072906e-15,5.841955879357016e-16,352,0,234,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.87043740280626,0.0
1752420413869.0,140962.0,5293597.0,6948572.0,3494192.0,6338393.0,7449217.0,6174612.0,7767132.0,1.815137676386519e-15,-9.746005550591703e-16,8.405371213273488e-16,342,0,228,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.86097035137561,0.0
1752420413909.0,141213.0,5309068.0,6943945.0,3489232.0,6334506.0,7464856.0,6189143.0,7779218.0,7.941949385661536e-16,3.3987987538674925e-16,1.134074813952903e-15,342,0,228,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.86097035137561,0.0
1752420413949.0,141081.0,5323664.0,6936473.0,3483902.0,6323645.0,7475124.0,6200210.0,7787652.0,-2.6004215857168198e-17,1.414825458991476e-15,1.3888212431343078e-15,342,0,228,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.86097035137561,0.0
1752420413989.0,141031.0,5334057.0,6935034.0,3483813.0,6324454.0,7479154.0,6207926.0,7790906.0,-5.6666555730716355e-16,2.1187129432433854e-15,1.5520473859362218e-15,329,0,219,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.86132378755165,0.0
1752420414029.0,141223.0,5346006.0,6937445.0,3483185.0,6323469.0,7487289.0,6216975.0,7800794.0,-1.112025086108415e-15,2.7668180140184612e-15,1.6547929279100462e-15,329,0,219,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.86132378755165,0.0
1752420414069.0,141052.0,5339140.0,6938346.0,3484889.0,6326311.0,7479745.0,6212459.0,7793179.0,-1.7359977647238744e-15,3.4641928031176026e-15,1.7281950383937282e-15,329,0,219,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.86132378755165,0.0
1752420414109.0,141727.0,5335165.0,6945736.0,3486172.0,6332043.0,7470951.0,6205744.0,7788520.0,-2.509521309807581e-15,4.2913032522810555e-15,1.7817819424734745e-15,327,0,218,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.84755908593458,0.0
1752420414149.0,141655.0,5330511.0,6940964.0,3484521.0,6326435.0,7466418.0,6201142.0,7780934.0,-3.3589763469251e-15,5.198825927178735e-15,1.839849580253635e-15,327,0,218,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.84755908593458,0.0
1752420414189.0,141149.0,5327633.0,6928363.0,3476237.0,6313669.0,7462728.0,6196653.0,7773641.0,-4.170938600047163e-15,6.0764011875675565e-15,1.9054625875203936e-15,327,0,218,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.84755908593458,0.0
1752420414229.0,141576.0,5327568.0,6923443.0,3474761.0,6309748.0,7457282.0,6193936.0,7772763.0,-4.8625911169046934e-15,6.845179583499412e-15,1.9825884665947186e-15,324,0,216,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.82577984917994,0.0
1752420414269.0,141223.0,5322472.0,6931778.0,3475266.0,6311493.0,7450171.0,6188285.0,7764156.0,-5.465048946923171e-15,7.519043984965915e-15,2.0539950380427438e-15,324,0,216,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.82577984917994,0.0
1752420414309.0,140849.0,5313382.0,6927695.0,3476326.0,6313981.0,7437955.0,6177150.0,7756096.0,-6.1224518277648805e-15,8.223433477410729e-15,2.100981649645848e-15,324,0,216,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.82577984917994,0.0
1752420414349.0,140918.0,5292543.0,6932597.0,3477989.0,6314828.0,7416820.0,6157708.0,7735636.0,-6.8732304912412645e-15,9.016094814299483e-15,2.1428643230582184e-15,321,0,214,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.80918657389022,0.0
1752420414389.0,140840.0,5269331.0,6937888.0,3481479.0,6319863.0,7395730.0,6136294.0,7713499.0,-7.74551236040367e-15,9.932520087808219e-15,2.1870077274045486e-15,321,0,214,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.80918657389022,0.0
1752420414429.0,140896.0,5249250.0,6938588.0,3480618.0,6319003.0,7379170.0,6117775.0,7696815.0,-8.579169809554222e-15,1.0831748333750362e-14,2.25257852419614e-15,321,0,214,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.80918657389022,0.0
1752420414469.0,140844.0,5241887.0,6946421.0,3488152.0,6332688.0,7373618.0,6112756.0,7692566.0,-9.22030598734881e-15,1.1525527044475534e-14,2.3052210571267246e-15,317,0,211,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.80494403863173,0.0
1752420414509.0,141194.0,5234781.0,6952457.0,3488046.0,6336003.0,7365464.0,6104137.0,7684628.0,-9.514437048611474e-15,1.1837201287435551e-14,2.3227642388240773e-15,317,0,211,0,,unknown,43.64125666407755,-79.42240005528859,0.0,0.0,0.0,93.80494403863173,0.0
